Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.31,symmetric,-2.7640912395701855
100% Corpus,7,0.61,0.01,-2.495889926538479
100% Corpus,7,0.61,0.31,-2.922429798876368
100% Corpus,7,0.61,0.61,-3.6966774319471476
100% Corpus,7,0.61,0.9099999999999999,-4.454509547650688
100% Corpus,7,0.61,symmetric,-2.8887646766604838
100% Corpus,7,0.9099999999999999,0.01,-2.4033587276067148
100% Corpus,7,0.9099999999999999,0.31,-3.0570780478944557
100% Corpus,7,0.9099999999999999,0.61,-3.4243033287297604
100% Corpus,7,0.9099999999999999,0.9099999999999999,-3.5697725387186443
100% Corpus,7,0.9099999999999999,symmetric,-2.493910043236314
100% Corpus,7,symmetric,0.01,-2.5718973872359285
100% Corpus,7,symmetric,0.31,-2.968518335082024
100% Corpus,7,symmetric,0.61,-3.7286437148763882
100% Corpus,7,symmetric,0.9099999999999999,-3.5010240530325505
100% Corpus,7,symmetric,symmetric,-2.5859787728625507
100% Corpus,7,asymmetric,0.01,-2.2945968283306715
100% Corpus,7,asymmetric,0.31,-3.7965161228219815
100% Corpus,7,asymmetric,0.61,-4.362241301883481
100% Corpus,7,asymmetric,0.9099999999999999,-6.90085074535168
100% Corpus,7,asymmetric,symmetric,-2.6175455469475883
100% Corpus,8,0.01,0.01,-2.781126814372999
100% Corpus,8,0.01,0.31,-2.8911152830821827
100% Corpus,8,0.01,0.61,-2.8995940198702415
100% Corpus,8,0.01,0.9099999999999999,-3.14075537664824
100% Corpus,8,0.01,symmetric,-2.6794448574768426
100% Corpus,8,0.31,0.01,-2.8257331583555896
100% Corpus,8,0.31,0.31,-3.201294270081001
100% Corpus,8,0.31,0.61,-3.7435783731613013
100% Corpus,8,0.31,0.9099999999999999,-4.823891057240957
100% Corpus,8,0.31,symmetric,-2.9488993071713834
100% Corpus,8,0.61,0.01,-2.7227259166983693
100% Corpus,8,0.61,0.31,-3.6516779450602033
100% Corpus,8,0.61,0.61,-4.596757647627726
100% Corpus,8,0.61,0.9099999999999999,-5.760710240051275
100% Corpus,8,0.61,symmetric,-3.204442026279871
100% Corpus,8,0.9099999999999999,0.01,-2.6333433573767477
100% Corpus,8,0.9099999999999999,0.31,-3.123880463573247
100% Corpus,8,0.9099999999999999,0.61,-3.754044807741483
100% Corpus,8,0.9099999999999999,0.9099999999999999,-3.679968422724665
100% Corpus,8,0.9099999999999999,symmetric,-2.7236872946235087
100% Corpus,8,symmetric,0.01,-2.8073045332213233
100% Corpus,8,symmetric,0.31,-3.1322104061920815
100% Corpus,8,symmetric,0.61,-3.0849218506159803
100% Corpus,8,symmetric,0.9099999999999999,-3.5892327651869733
100% Corpus,8,symmetric,symmetric,-2.727596338849085
100% Corpus,8,asymmetric,0.01,-2.966651335971088
100% Corpus,8,asymmetric,0.31,-3.2670759821961104
100% Corpus,8,asymmetric,0.61,-3.6100295347614106
100% Corpus,8,asymmetric,0.9099999999999999,-5.675274210270771
100% Corpus,8,asymmetric,symmetric,-2.8414085556604043
100% Corpus,9,0.01,0.01,-2.53784215558332
100% Corpus,9,0.01,0.31,-2.517042038257982
100% Corpus,9,0.01,0.61,-3.4632078747729214
100% Corpus,9,0.01,0.9099999999999999,-5.370318820183253
100% Corpus,9,0.01,symmetric,-2.5231432418251116
100% Corpus,9,0.31,0.01,-2.7216837584516957
100% Corpus,9,0.31,0.31,-3.3077710801054394
100% Corpus,9,0.31,0.61,-5.022982850211104
100% Corpus,9,0.31,0.9099999999999999,-6.011321921110383
100% Corpus,9,0.31,symmetric,-2.8635733626743733
100% Corpus,9,0.61,0.01,-2.8171953985216667
100% Corpus,9,0.61,0.31,-3.934410752724911
100% Corpus,9,0.61,0.61,-5.29170728985661
100% Corpus,9,0.61,0.9099999999999999,-5.867249207568861
100% Corpus,9,0.61,symmetric,-3.148029317788967
100% Corpus,9,0.9099999999999999,0.01,-2.431699107963865
100% Corpus,9,0.9099999999999999,0.31,-3.0541805852579333
100% Corpus,9,0.9099999999999999,0.61,-3.3683195052643473
100% Corpus,9,0.9099999999999999,0.9099999999999999,-3.361926990582714
100% Corpus,9,0.9099999999999999,symmetric,-2.4590711584708576
100% Corpus,9,symmetric,0.01,-2.490851741896746
100% Corpus,9,symmetric,0.31,-2.8318250055610275
100% Corpus,9,symmetric,0.61,-3.92651604105808
100% Corpus,9,symmetric,0.9099999999999999,-5.431296048540393
100% Corpus,9,symmetric,symmetric,-2.6596642479181005
100% Corpus,9,asymmetric,0.01,-2.6397845627425824
100% Corpus,9,asymmetric,0.31,-3.5862777765497253
